period,si,ni,rpi,spi,AQI
1993-01,26.139136904761905,47.01450892857143,0.0,17.813988095238095,65.7546130952381
1993-02,24.378943452380952,42.7265625,0.0,24.154761904761905,69.10677083333333
1993-03,22.47682072829132,40.95273109243698,0.0,29.590336134453782,71.53046218487395
1993-04,23.584444444444443,38.359791666666666,0.0,16.77777777777778,57.108402777777776
1993-05,26.794887955182073,38.906302521008406,0.0,2.8781512605042017,48.444607843137256
1993-06,26.849780701754387,40.776973684210525,0.0,32.96052631578947,77.10065789473684
1993-07,23.34865079365079,40.17785714285714,0.0,13.855555555555558,57.14531746031746
1993-08,21.94762931034483,36.73318965517242,0.0,24.027298850574713,63.73757183908046
1993-09,24.70932721712538,37.28302752293578,0.0,16.792048929663608,59.50038226299694
1993-10,24.7798828125,38.4634765625,0.0,25.53515625,63.91953125
1993-11,26.97751225490196,42.17316176470588,0.0,46.10171568627451,84.99638480392157
1993-12,28.1640625,49.72734375,0.0,39.736979166666664,87.34908854166666
1994-01,25.414814814814815,42.85434027777777,0.0,196.92997685185185,205.63634259259257
1994-02,21.4102417302799,38.38587786259542,0.0,184.38804071246818,195.73689567430026
1994-03,26.396654929577462,41.29753521126761,0.0,214.843896713615,225.92276995305164
1994-04,22.54014598540146,37.31861313868613,0.0,182.4647201946472,193.50754257907542
1994-05,23.935246913580247,38.42635802469136,0.0,217.11975308641976,228.47228395061728
1994-06,22.649814814814814,39.02703703703703,0.0,181.1543209876543,194.25432098765432
1994-07,22.3258,37.1,0.0,116.64,136.47733333333335
1994-08,25.927066666666665,37.3816,0.0,132.32733333333334,150.80353333333332
1994-09,26.049399399399398,40.81148648648649,0.0,158.99624624624624,176.9740990990991
1994-11,29.030961070559613,51.776155717761554,0.0,217.0322384428224,230.04403892944038
1994-12,37.03721751412429,59.950423728813554,0.0,270.909604519774,282.91829096045194
1995-01,30.7735,48.95144444444445,0.0,222.55666666666667,231.64427777777775
1995-02,28.815555555555555,48.02938888888889,0.0,226.1011111111111,234.55105555555556
1995-03,27.466239316239317,44.21132478632478,0.0,192.43376068376068,199.28360042735042
1995-04,27.178476821192053,42.652814569536424,0.0,188.25938189845476,199.3421633554084
1995-05,27.972863247863245,38.77964743589744,0.0,202.79754273504275,212.47441239316237
1995-06,25.42236559139785,35.787258064516124,0.0,193.64408602150536,202.4434946236559
1995-07,23.761624203821654,33.87484076433121,0.0,151.02653927813165,163.24570063694267
1995-08,24.051602564102566,33.24070512820513,0.0,125.45833333333333,144.5897435897436
1995-09,24.267045454545453,38.65243506493507,0.0,141.8430735930736,154.6827922077922
1995-10,28.590315315315316,42.84121621621622,0.0,171.72522522522522,183.6082207207207
1995-11,28.833333333333332,46.965328467153284,0.0,214.7469586374696,223.63442822384428
1995-12,30.454978354978355,43.99042207792208,0.0,247.5865800865801,251.99485930735932
1996-01,27.06979166666667,39.500426136363636,0.0,210.83191287878788,216.8501893939394
1996-02,25.58262310606061,39.89602272727273,0.0,222.04545454545453,227.26704545454547
1996-03,24.26882183908046,36.62341954022989,0.0,226.36494252873564,230.2787356321839
1996-04,22.823186274509805,35.74661764705883,0.0,235.37303921568625,242.92965686274508
1996-05,23.246172480620157,39.19738372093023,0.0,239.13275193798452,244.93798449612405
1996-06,22.7039898989899,32.54484848484848,0.0,234.13787878787878,238.81969696969696
