period,si,ni,rpi,spi,AQI
1996-03,25.45277035134407,36.97371473144069,109.6109280617947,238.8378552971576,249.3137182909441
1996-04,23.97315716346288,35.72962923824484,109.6109280617947,248.4205426356589,265.0531642040469
1996-05,23.75242072935435,38.67885404444639,109.6109280617947,258.98854511420325,267.0804732651335
1996-06,23.88003152602702,32.73917737386868,109.6109280617947,248.4753333333333,261.2850818232205
1996-07,20.89209476788395,32.47973945820305,109.6109280617947,149.32557396612873,181.74351544263047
1996-08,22.01461511360251,27.3181223526902,109.6109280617947,148.34206989247312,178.39914040503717
1996-09,23.359498684563142,33.742091336978035,109.6109280617947,170.8717676480783,198.24352902049105
1996-10,26.206319444444443,39.8449921437044,109.6109280617947,221.00972222222225,242.08214236688457
1996-11,27.023928269548147,40.37858571600895,109.6109280617947,253.20409604519773,273.59389397709907
1996-12,27.996361079830884,41.594035838797566,109.6109280617947,273.4705281333239,288.4158831720461
1997-01,31.753792592739533,48.94272159586661,109.6109280617947,227.9025008702497,243.3802933346106
1997-02,29.212420915172057,45.03205987581853,109.6109280617947,234.50478156272047,247.398346628814
1997-03,27.37303552825444,42.65216757530997,109.6109280617947,218.7930366052556,226.94160969001547
1997-04,25.122943125641655,39.27381269971617,109.6109280617947,180.0413613583665,202.1595574280224
1997-05,23.21150524447363,38.43396630123529,109.6109280617947,187.68699122049375,206.76340504407912
1997-06,22.24421761892718,38.21916174463384,109.6109280617947,155.84289242483985,187.19618243134568
1997-07,20.816511810945308,38.41705190815094,109.6109280617947,131.46217755109254,167.3213803701459
1997-08,20.698880008600497,35.35910300504518,109.6109280617947,111.6091060996918,151.4780844984097
1997-09,22.037547774930907,40.040530373857614,109.6109280617947,120.30392156862744,162.87447161740997
1997-10,25.809152145085747,43.01237409416373,109.6109280617947,151.05405061693023,184.59354279397496
1997-11,24.869289588723085,43.96320952592768,109.6109280617947,171.42194931994428,200.7612615111109
1997-12,25.829257457628227,42.92318970490566,109.6109280617947,170.6576576576577,198.42037094763225
1998-01,26.50062481096822,44.49555691326233,109.6109280617947,239.8790322580645,252.19598744933208
1998-02,24.34715314581381,41.582592457956224,109.6109280617947,235.42102378238215,245.51410999878624
1998-03,24.455905555703644,42.50702388472288,109.6109280617947,215.56154666248256,229.1061215655575
1998-04,24.30780809893393,39.68879245795623,109.6109280617947,224.12102378238217,234.23967287631447
1998-05,22.20082241682479,37.52674938372901,109.6109280617947,240.73132262045488,255.91262064398808
1998-06,23.93099233592041,37.03519245795623,109.6109280617947,184.92635711571552,204.4969886369134
1998-07,24.520930324846372,37.62940384239099,109.6109280617947,143.75807820278237,173.42049242720165
1998-08,22.446367050700903,34.2145889568638,109.6109280617947,128.24878700055086,165.08603013512956
1998-09,20.774518476092464,33.608716257472345,109.61092806179468,146.9331896551724,179.28634323703574
1998-10,20.46567227634369,38.593437448976,109.6109280617947,205.32766990291265,227.49726758481447
1998-11,25.297507640503703,38.17061455765397,109.6109280617947,241.1784591194969,257.24027462626265
1998-12,26.799585429524296,44.49491240244247,109.61092806179468,281.81501831501834,293.8082867160552
1999-01,28.287519050461995,49.740462639317855,109.6109280617947,228.03735117742733,247.44847545407623
1999-02,29.41561113028268,46.26650945367779,109.6109280617947,214.4121794871795,230.50108435774948
1999-03,29.10436263775257,45.92070720138072,109.6109280617947,237.35934614779495,253.959340720204
1999-04,24.401741432267254,40.26487360284679,109.6109280617947,248.85351189119103,259.04082325860645
1999-05,23.913986658871565,38.09543709964394,109.6109280617947,212.6601262343996,228.91098981525565
1999-06,23.879421079259807,38.70437196049616,109.6109280617947,197.29475308641972,220.6794826815432
1999-07,21.897483903746597,36.89783918561006,109.6109280617947,145.2708474895132,175.1361373617256
1999-08,21.2272172396704,38.238262808410674,109.6109280617947,128.47242330089085,169.9931314061299
1999-09,22.06821925030933,39.90483492345911,109.6109280617947,141.93827160493828,174.2918662416761
1999-10,22.05085813919822,43.9925664049406,109.6109280617947,168.80869702711922,197.7336512647901
1999-11,24.21770227314697,45.14063658400988,109.6109280617947,221.0062860959085,244.53184384127871
1999-12,26.73611607369317,53.23221652810581,109.6109280617947,259.3289273045096,277.02047996900933
2000-01,24.48438267528944,51.78820755776079,109.6109280617947,210.26106842089985,226.47729009553635
2000-02,21.369033373880026,44.2957798615682,109.6109280617947,183.7254585704553,207.39094929350065
2000-03,22.57322565049605,43.70835608154373,109.6109280617947,194.6791124980348,214.3546960254431
2000-04,20.894764859360357,40.31557737386868,109.6109280617947,203.91186900690656,227.8004961349209
2000-05,20.52355342775092,39.41522857308176,109.6109280617947,196.46463652463407,224.1339474768729
2000-06,18.272721898470188,34.548959954828334,109.6109280617947,163.35770380318735,201.01602115728767
2000-07,18.249444029552134,34.13706002614555,109.6109280617947,115.63702966937414,160.49772295832904
2000-08,19.159865329305863,36.23665881037107,109.6109280617947,113.16125975099968,158.6966077741727
2000-09,20.31550253091685,36.28509238222327,109.6109280617947,127.06278509102754,167.4168398687262
2000-10,21.417912325491983,41.7312384087442,109.6109280617947,179.02650513002723,208.24105633597296
2000-11,21.5733501757184,45.19449686576469,109.6109280617947,204.3245740834326,228.52340770032853
2000-12,22.324687430787574,50.58433925879364,109.6109280617947,241.1992172051967,260.7244494043911
2001-01,22.865837227051568,46.76007802393323,109.6109280617947,244.20254086952076,263.11725911397434
2001-02,23.268578927608427,47.319352237491,109.6109280617947,244.53750875092388,258.7105115889313
2001-03,22.33199458273665,43.16406823217403,109.6109280617947,207.36253964953505,229.73004827613468
2001-04,19.515875813788217,42.24410021953116,109.6109280617947,218.14976741997407,236.3663853081248
2001-05,18.233093719100022,36.63884108743148,109.6109280617947,217.97702651656869,235.99291625794996
2001-06,16.549760800207178,36.308304100605525,109.6109280617947,165.69239086702797,186.78968386139485
2001-07,15.626158044199707,32.03737930498885,109.6109280617947,130.4955119725016,162.36750732860088
2001-08,16.087669781641253,36.46497824410449,109.6109280617947,136.40988979671735,166.2976638431729
2001-09,17.91192699715708,38.83131764967536,109.6109280617947,149.1867009311677,177.17031529955756
2001-10,17.434695107531137,41.60350455177079,109.6109280617947,183.9030640471928,205.0233978076999
2001-11,19.293075161293757,45.76379189917206,109.6109280617947,216.477422835613,237.2955961781694
2001-12,19.60108941935825,45.50257862584486,109.6109280617947,229.06973071385943,241.3322604594549
2002-01,18.488258168294745,43.30454330129296,109.6109280617947,171.89669825513303,197.6873491029823
