date,AQI
2002-10-31,146.19720767888305
2002-11-30,160.8813596491228
2002-12-31,174.8793402777778
2003-01-31,163.87551020408162
2003-02-28,120.67440476190477
2003-03-31,162.77994227994228
2003-04-30,178.5058962264151
2003-05-31,262.1709533607682
2003-06-30,150.4575925925926
2003-07-31,119.96376811594203
2003-08-31,123.85387045813587
2003-09-30,113.2969011725293
2003-10-31,247.7561274509804
2003-11-30,235.5969742063492
2003-12-31,230.4333333333333
2004-01-31,164.66149553001276
2004-02-29,166.79201574693423
2004-03-31,176.30447302958888
2004-04-30,181.926179007431
2004-05-31,175.25989247311827
2004-06-30,150.0716908662199
2004-07-31,144.17729123173277
2004-08-31,137.63503236245953
2004-09-30,138.56565995525725
2004-10-31,162.8929719020173
2004-11-30,177.10727398779812
2004-12-31,191.14591806020067
2005-01-31,207.54604938271606
2005-02-28,198.64138783269962
2005-03-31,196.02749122807018
2005-04-30,211.0669482386772
2005-05-31,207.01853161843513
2005-06-30,190.05101728863588
2005-07-31,169.0308925476603
2005-08-31,164.82149172310008
2005-09-30,158.744420702754
2005-10-31,189.27123477297894
2005-11-30,209.69560646900268
2005-12-31,219.7185972222222
2006-01-31,219.62326679046734
2006-02-28,216.74978132951654
2006-03-31,198.16851390618515
2006-04-30,207.84446274186908
2006-05-31,196.5751535933705
2006-06-30,179.93274528914878
2006-07-31,162.13175097015923
2006-08-31,157.95584865732633
2006-09-30,160.14317228312356
2006-10-31,188.6559970063777
2006-11-30,189.80475404530742
2006-12-31,207.06396216360244
2007-01-31,211.16080729166666
2007-02-28,185.62445016526826
2007-03-31,191.22920338983053
2007-04-30,196.26597753491194
2007-05-31,193.23895566239315
2007-06-30,158.8907456140351
2007-07-31,151.73100058685446
2007-08-31,152.0452136752137
2007-09-30,157.06516446977795
2007-10-31,185.5825090075336
2007-11-30,204.38129979783565
2007-12-31,215.94269256643122
2008-01-31,214.378173739572
2008-02-29,221.0366323907455
2008-03-31,212.45358490566036
2008-04-30,204.75840443686008
2008-05-31,209.10915677374302
2008-06-30,172.39896980824153
2008-07-31,166.58730870396937
2008-08-31,162.66454230488694
2008-09-30,162.27130881938575
2008-10-31,204.09706564799092
2008-11-30,211.54453435019843
2008-12-31,222.8741285824942
2009-01-31,221.368165516308
2009-02-28,234.2324597606273
2009-03-31,226.88278595696488
2009-04-30,211.99652858060372
2009-05-31,204.96253280839895
2009-06-30,202.7507519824993
2009-07-31,162.45257314524557
2009-08-31,158.15089798850573
2009-09-30,184.77382451721243
2009-10-31,202.8761459589867
2009-11-30,204.1389423076923
2009-12-31,225.58880494505493
2010-01-31,188.28336039053272
2010-02-28,175.832361049599
2010-03-31,182.25337660552384
2010-04-30,177.58978412860748
2010-05-31,186.75366302605434
2010-06-30,155.81894982457723
2010-07-31,129.08304908844883
2010-08-31,131.0799943730607
2010-09-30,137.35528365025303
2010-10-31,153.8060560678479
2010-11-30,164.55965209401833
2010-12-31,185.16213987889842
2011-01-31,117.82478273098194
2011-02-28,113.97934765671819
2011-03-31,113.30759449635255
2011-04-30,110.22580407501533
2011-05-31,113.37593309149234
2011-06-30,99.072490857705
2011-07-31,96.58883063778558
2011-08-31,92.48527258652321
2011-09-30,97.80646775211298
2011-10-31,110.69642278570524
2011-11-30,114.1310777952203
2011-12-31,116.90294663965678
2012-01-31,99.69625383812331
2012-02-29,101.77398740310078
2012-03-31,105.27811951244705
2012-04-30,98.387683598351
2012-05-31,100.40681664037855
2012-06-30,95.64097879439664
2012-07-31,89.69315830721003
2012-08-31,87.05097668051359
2012-09-30,90.83238441428739
2012-10-31,98.702019035533
2012-11-30,106.08244025317892
2012-12-31,106.96002963150207
2013-01-31,106.72924551324668
2013-02-28,103.04266604009543
2013-03-31,100.90840710647849
2013-04-30,101.48483021812622
2013-05-31,101.38299687389906
2013-06-30,91.29330856830074
2013-07-31,87.5383226437309
2013-08-31,87.01771815047556
2013-09-30,90.91497089379769
2013-10-31,93.51242018568823
2013-11-30,101.6362188085454
2013-12-31,101.8968214505905
2014-01-31,102.78527979227684
2014-02-28,98.51243797194452
2014-03-31,100.24131134086902
2014-04-30,97.96376483427272
2014-05-31,97.27840122320252
2014-06-30,94.88846793864154
2014-07-31,87.69691237007346
2014-08-31,87.76029513368212
2014-09-30,90.161689776308
2014-10-31,96.35546125822005
2014-11-30,100.51395804637676
2014-12-31,101.77908042608618
2015-01-31,101.25888233070545
2015-02-28,102.45265745387489
2015-03-31,98.94700810567466
2015-04-30,98.55673905743956
2015-05-31,98.00166904739066
2015-06-30,88.80668308259769
2015-07-31,82.32229180092034
2015-08-31,80.7573063090824
2015-09-30,87.6366682960703
2015-10-31,96.27266561630037
2015-11-30,102.91826808887187
2015-12-31,106.08107009045698
